"VENDOR PART#","MANUFACTURER PART #","DESCRIPTION","MSRP","CONTRACT_PRICE","QUANTITY ON HAND","MANUFACTURER_NAME","CATEGORY","SERIAL_FLAG","WEIGHT"
"ADL-CDLC800224151JM0","C-DLC800224-151JM0","DLV8315 DM","3603.00","2449.91","0","Advantech-DLoG","ADL","Y","13.228"
"ADL-CDLC800224151JM2","C-DLC800224-151JM2","DLV8315 DM","3907.00","2656.62","0","Advantech-DLoG","ADL","Y","13.228"
"ADL-DLAGIK79378700","DL-AGIK79378700","Wi-Fi antenna kit, remote","297.00","201.95","0","Advantech-DLoG","ADL","N","2.770"
"ADL-DLAGIK79383300","DL-AGIK79383300","COVER CAP RED LOW PROFILE ANTENNA VMT","25.00","17.00","0","Advantech-DLoG","ADL","N","0.200"
"ADL-DLAGSK70109000","DL-AGSK70109000","DLoG Voice Kit for and XMT 5 10""","290.00","208.38","0","Advantech-DLoG","ADL","N","0.639"
"ADL-DLAGUP79376800","DL-AGUP79376800","UPS INTERNAL VMT SERIES","285.00","148.57","0","Advantech-DLoG","ADL","N","1.210"
"ADL-DLAPAD62817900","DL-APAD62817900","V83 MINI BLUETOOTH ADAPTER","25.00","18.13","0","Advantech-DLoG","ADL","Y","1.850"
"ADL-DLBMEMT70146300","DL-BMEMT70146300","RAMM double arm 1.5"" (2 arm 150mm)","109.00","78.32","0","Advantech-DLoG","ADL","N","4.409"
"ADL-DLBTRG79461700","DL-BTRG79461700","DLT-V72 BATTERY","195.00","132.59","0","Advantech-DLoG","ADL","N","1.210"
"ADL-DLCAGCC70278102","DL-CAGCC70278102","CABLE COVER IP65/IP66/IP67 XMT5","69.00","46.92","5","Advantech-DLoG","ADL","N","0.220"
"ADL-DLCAKT70213500","DL-CAKT70213500","DLT-V72/83 Replacement Kit","138.00","93.83","0","Advantech-DLoG","ADL","N","0.750"
"ADL-DLCAPW42470600","DL-CAPW42470600","POWER CBL FORKLIFT ADAPTER 50CM","106.00","72.08","0","Advantech-DLoG","ADL","N","2.200"
"ADL-DLCAPW42470700","DL-CAPW42470700","POWER CBL FORKLIFT ADAPTER 2.5M","104.00","70.72","0","Advantech-DLoG","ADL","N","2.200"
"ADL-DLCAPW51706620","DL-CAPW51706620","CBL POWER DC CIRC. CONNECTOR 3M","29.00","19.72","0","Advantech-DLoG","ADL","N","0.220"
"ADL-DLCCAPW51119910","DL-CCAPW51119910","POWER CABLE (3M) FOR XMT and DLT-Vxxxx","21.00","14.28","0","Advantech-DLoG","ADL","N","2.350"
"ADL-DLCCAPW51706500","DL-CCAPW51706500","CBL POWER DC ADAPTER POWER SUPPLY - PRE","27.00","18.36","0","Advantech-DLoG","ADL","N","0.220"
"ADL-DLCCAPW51751001","DL-CCAPW51751001","CBL POWER DC ADAPTER POWER SUPPLY-EXTRA","50.00","34.00","0","Advantech-DLoG","ADL","N","0.220"
"ADL-DLCCAPW69000310","DL-CCAPW69000310","POWER CABLE 2.5M 110/220 VAC  FOR VMT","5.00","3.40","0","Advantech-DLoG","ADL","N","0.480"
"ADL-DLCCAPW69001900","DL-CCAPW69001900","DLOG Cable Power GB 110/230 VAC 2.5m","15.00","10.20","0","Advantech-DLoG","ADL","N","0.790"
"ADL-DLCKBSM65409700","DL-CKBSM65409700","SMALL KEYB QWERTZ, mounting version, USB","390.00","265.19","4","Advantech-DLoG","ADL","N","1.279"
"ADL-DLCKBSM65409800","DL-CKBSM65409800","SMALL KEYB QWERTY, mounting version, USB","390.00","280.24","5","Advantech-DLoG","ADL","N","1.279"
"ADL-DLCMECF51029001","DL-CMECF51029001","CLAMP MOUNT SMALL VMT","160.00","114.97","0","Advantech-DLoG","ADL","N","1.984"
"ADL-DLCMECF51029100","DL-CMECF51029100","CLAMP MOUNT MAXI FOR DLT-V8310","280.00","201.20","0","Advantech-DLoG","ADL","N","0.750"
"ADL-DLCMEMS70120400","DL-CMEMS70120400","MOUNT KIT SMALL/24 keyboard front landsc","45.00","32.34","0","Advantech-DLoG","ADL","N","1.631"
